Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,1.03,0.4926827999271582,40337408.0,49.62730966666666,6.159213625,340.825,,,,,,,,,,,,,,,0.8888888888888888,49.6258420625,6.158882729166667,368.7875
1,464.0,1708.5,6.0,6.5,,,,,41.175,1.318,0.5607818888041736,45939507.2,49.62730461666667,6.159198033333333,342.04,,,7342.75,8173.625,49.875,54.25,,,,,,0.22285714285714286,0.40034378231043427,65922779.428571425,1.0,49.62582546666667,6.158894133333333,369.64
2,789.4,2309.4,11.1,11.2,,,,,,1.748,0.6664225265302284,54561996.8,49.627305316666664,6.15919465,342.06,,,8042.9,10481.3,49.5,53.0,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62582533333334,6.1588938,369.48
3,4126.0,4072.0,19.1,17.8,,,,,,1.748,0.6664225265302284,54561996.8,49.627306133333335,6.159190716666666,342.11,0.05882373877934042,1601.142857142857,8413.6,6854.6,30.5,36.1,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.6258243,6.158894216666667,369.27
4,1777.5,1241.9,11.2,10.6,,,,,,1.748,0.6664225265302284,54561996.8,49.6273071,6.159186833333333,342.21,0.03941501379013052,1528.0,4031.0,4075.6,27.9,32.6,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.625823866666664,6.158894933333333,369.06
5,8590.2,4922.9,23.5,22.5,,,,,,1.748,0.6664225265302284,54561996.8,49.62730798333333,6.1591826166666666,342.21999999999997,0.01465752124786368,1528.0,1182.7777777777778,1593.3333333333333,13.11111111111111,19.555555555555557,,,,,,0.2233333333333333,0.4005708131323282,65960163.55555555,0.9,49.62583442592592,6.158891962962963,365.1222222222222
6,8197.1,4469.1,13.9,15.7,,,,,,1.748,0.6664225265302284,54561996.8,49.6273089,6.1591784,342.24,0.0231098532676696,1528.0,5735.05,6497.15,26.2,33.45,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.625829375,6.158896258333334,369.03499999999997
7,7499.2,4223.8,13.1,13.6,,,,,,1.748,0.6664225265302284,54561996.8,49.6273098,6.159174033333334,342.26,0.01570236682891838,1528.0,8147.3,11242.5,32.8,36.8,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.6258324,6.158897116666667,368.99
8,7656.3,4245.7,15.5,14.2,,,,,,1.748,0.6664225265302284,54561996.8,49.62731078333333,6.1591694666666665,342.28000000000003,0.01832182407379142,1528.0,16208.3,11554.8,32.5,37.3,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.625834983333334,6.15889665,369.03000000000003
9,7748.7,4340.6,15.1,14.7,,,,,,1.748,0.6664225265302284,54561996.8,49.62731183333334,6.1591648,342.31,0.02018383741378777,1528.0,9941.9,10566.9,31.0,37.0,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62583455,6.15889615,368.94
10,7585.6,4358.0,13.8,15.4,,,,,,1.748,0.6664225265302284,54561996.8,49.62731296666667,6.159160566666667,342.40999999999997,0.01183618307113639,1528.0,9155.6,11298.0,25.6,32.3,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62583295,6.158894933333333,368.88
11,7584.6,4251.1,13.0,14.2,,,,,,1.748,0.6664225265302284,54561996.8,49.62731383333333,6.1591565,342.51,0.01342343091964715,1528.0,8871.2,13441.9,31.2,38.1,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62583075,6.1588928166666665,368.76
12,7509.8,4192.2,13.2,13.1,,,,,,1.748,0.6664225265302284,54561996.8,49.62731478333333,6.1591521,342.6,0.01749255657196036,1528.0,15536.3,12636.7,39.5,44.0,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62582918333334,6.15889185,368.66999999999996
13,7613.1,4227.1,15.2,13.9,,,,,,1.748,0.6664225265302284,54561996.8,49.62731553333334,6.159147966666667,342.64,0.019039142131805332,1528.0,7610.7,9453.7,24.9,28.6,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.6258253,6.158888266666667,368.69
14,7595.2,4210.3,13.2,13.2,,,,,,1.748,0.6664225265302284,54561996.8,49.627316066666666,6.159143766666666,342.7,0.02825772364934277,1528.0,10684.3,12191.7,35.9,43.6,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62582165,6.158885566666667,368.61
15,7619.5,4325.1,13.8,14.9,,,,,,1.748,0.6664225265302284,54561996.8,49.627317033333334,6.159139316666666,342.71,0.01564826965332023,1528.0,9557.5,10916.1,29.0,33.3,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.625817033333334,6.15888275,368.62
16,7736.4,4254.1,13.2,14.2,,,,,,1.748,0.6664225265302284,54561996.8,49.62731848333333,6.159135333333333,342.87,0.018655931949615408,1528.0,8107.2,9175.8,26.0,33.0,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62581303333333,6.15888055,368.55
17,7583.1,4174.8,13.2,12.8,,,,,,1.748,0.6664225265302284,54561996.8,49.62731923333333,6.159130816666666,342.97,0.0189555883407592,1528.0,10644.0,13671.6,31.3,38.3,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62581051666667,6.15887835,368.56
18,7619.7,4219.3,15.3,13.8,,,,,,1.748,0.6664225265302284,54561996.8,49.62731965,6.159126,342.90999999999997,0.02709163427352897,1528.0,10829.9,11912.8,28.3,33.1,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62580931666667,6.158878383333334,368.58000000000004
19,7515.3,4170.1,13.1,12.6,,,,,,1.748,0.6664225265302284,54561996.8,49.62732045,6.15912135,342.91999999999996,0.01915460824966422,1528.0,7762.4,8649.4,24.4,29.5,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62580805,6.15887805,368.65999999999997
20,7563.9,4307.5,13.4,14.7,,,,,,1.748,0.6664225265302284,54561996.8,49.6273212,6.159117283333333,342.96999999999997,0.01444166898727409,1528.0,5401.4,9795.5,24.3,31.2,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.62580668333333,6.1588782166666665,368.9
21,7206.5,4039.6,12.8,14.2,,,,,,1.748,0.6664225265302284,54561996.8,49.6273221,6.159113416666667,343.04,0.01216522455215447,1528.0,13867.5,12172.3,39.8,44.4,,,,,,0.223,0.40047490741643593,65944371.2,1.0,49.625805050000004,6.1588758,368.94
