Timestamp,Bytes_Send_leo02,Bytes_Received_leo02,Packets_Send_leo02,Packets_Received_leo02,Errors_Send_leo02,Errors_Received_leo02,Drop_Incoming_leo02,Drop_total_leo02,CPU_percent_leo02,CPU_time_leo02,RAM_percent_leo02,RAM_info_leo02,LAT_leo02,LONG_leo02,ALT_leo02,Delay_local,Size_local,Bytes_Send_local,Bytes_Received_local,Packets_Send_local,Packets_Received_local,Errors_Send_local,Errors_Received_local,Drop_Incoming_local,Drop_total_local,CPU_percent_local,CPU_time_local,RAM_percent_local,RAM_info_local,Ping_target_local,LAT_local,LONG_local,ALT_local
0,,,,,,,,,,,,,49.62735066666667,6.159201,352.6,,,,,,,,,,,,,,,1.0,49.625883666666674,6.1589055,355.7
1,98.0,98.0,1.0,1.0,,,,,94.8,0.62,0.4102354751627434,33587200.0,49.62735183333333,6.159197166666667,352.7,,,4302.0,4828.0,15.0,23.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588416666667,6.158906166666666,355.7
2,196.0,196.0,2.0,2.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62735250000001,6.159192999999999,352.7,,,64932.0,28420.0,114.0,61.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588533333333,6.158906999999999,355.8
3,33382.0,21216.0,67.0,38.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62735066666667,6.159188,352.4,,,2270.0,10476.0,17.0,22.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588566666667,6.158907833333334,355.9
4,19560.0,5926.0,25.0,18.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734966666667,6.159183999999999,352.2,,,654.0,716.0,7.0,7.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588566666667,6.158908333333333,355.8
5,17458.0,2312.0,15.0,6.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734966666667,6.159180500000001,352.1,0.0095863342285156,8184.0,5472.0,2840.0,15.0,12.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.625884,6.158906999999999,355.7
6,19670.0,780.0,18.0,3.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734883333333,6.159176166666667,351.7,0.0130684375762939,8184.0,26076.0,26214.0,55.0,63.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588300000001,6.158905833333334,355.7
7,26010.0,366.0,21.0,3.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734766666667,6.159171833333333,351.5,0.014938354492187451,8184.0,2740.0,20070.0,18.0,32.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588283333333,6.1589075,355.7
8,17458.0,2312.0,15.0,6.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734699999999,6.159167,351.2,0.08946144580841064,8184.0,6114.0,18968.0,16.0,22.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588300000001,6.158908666666667,355.7
9,19670.0,780.0,18.0,3.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734783333334,6.159162333333334,351.2,0.0300945043563842,8184.0,796.0,18808.0,8.0,22.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588233333333,6.158909166666666,355.6
10,17462.0,362.0,15.0,3.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734766666667,6.159158333333333,351.1,0.030631065368652247,8184.0,3728.0,32007.0,46.0,59.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.62588083333333,6.158909,355.5
11,17458.0,2312.0,15.0,6.0,,,,,,0.75,0.4171894667539167,34156544.0,49.62734866666666,6.159154666666666,350.9,0.10642015933990476,8184.0,6322.0,19752.0,18.0,25.0,,,,,,0.11,0.2177777810944011,35860480.0,1.0,49.625880333333335,6.158909666666667,355.5
